neuron,soma_region,DG_MO_SEPTAL,DG_MO_TEMPORAL,DG_PO_SEPTAL,DG_PO_TEMPORAL,DG_SG_SEPTAL,DG_SG_TEMPORAL
200336_012.swc,700000005,0.0,0.0,1308.4105011019321,0.0,61.16461858224593,0.0
200336_013.swc,700000003,0.0,0.0,429.6039078029531,0.0,0.0,0.0
200336_014.swc,700000001,39.86921332780801,0.0,513.5686383860943,0.0,89.31525060815565,0.0
200336_019.swc,700000005,0.0,0.0,1048.6984402302876,0.0,26.136759985365686,0.0
200336_020.swc,700000005,0.0,0.0,843.0028120526673,0.0,50.38917991681896,0.0
200336_021.swc,700000005,0.0,0.0,1589.9212591663072,0.0,81.53913921971852,0.0
200336_022.swc,700000005,0.0,0.0,1065.444203335001,0.0,65.6979436049231,0.0
200336_024.swc,700000003,0.0,0.0,636.2332986776464,0.0,0.0,0.0
200336_025.swc,700000005,0.0,0.0,1289.427410285999,0.0,42.65061198170119,0.0
200336_027.swc,700000005,0.0,0.0,411.1107212953915,0.0,60.63290343130771,0.0
200336_028.swc,700000005,0.0,0.0,1770.8299268582343,0.0,71.53095833389278,0.0
200336_029.swc,700000005,0.0,0.0,1193.660470425122,0.0,17.24244788513988,0.0
200336_030.swc,700000005,0.0,0.0,158.02231387647868,0.0,26.49492051521974,0.0
200336_031.swc,700000005,0.0,0.0,628.3767179937159,0.0,35.08624966307043,0.0
200336_032.swc,700000003,0.0,0.0,837.0500282778141,0.0,0.0,0.0
200336_033.swc,700000005,0.0,0.0,1665.5496014256069,0.0,11.530580757290164,0.0
200336_034.swc,700000005,0.0,0.0,1009.8739039442091,0.0,154.74123459230134,0.0
200336_035.swc,700000003,5749.344974160043,0.0,880.7189291341349,0.0,719.0167397284149,0.0
200336_036.swc,700000005,0.0,0.0,514.3907425147777,0.0,52.988729250146875,0.0
200336_037.swc,700000005,0.0,0.0,658.1217476309067,0.0,214.75054705078082,0.0
200336_038.swc,700000005,0.0,0.0,577.3803055746608,0.0,25.863243016323214,0.0
200336_039.swc,700000005,0.0,0.0,1339.168867949807,0.0,28.550727469658337,0.0
200336_041.swc,700000003,0.0,0.0,1002.8054948500894,0.0,0.0,0.0
200336_042.swc,700000005,0.0,0.0,627.4584795873027,0.0,25.503433684636637,0.0
200336_043.swc,700000005,0.0,0.0,1583.6799101352635,0.0,43.56461017538306,0.0
200336_044.swc,700000003,0.0,0.0,467.8677153185004,0.0,1.5027973915340271,0.0
200336_045.swc,700000003,0.0,0.0,1182.0167791994722,0.0,0.0,0.0
200336_046.swc,700000005,0.0,0.0,1780.2692345607875,0.0,108.92518455730973,0.0
200336_047.swc,700000001,16.361792335485937,0.0,1432.2892904861947,0.0,104.54029440081915,0.0
200336_048.swc,700000005,0.0,0.0,467.3660890128987,0.0,98.5917124684201,0.0
200784_039.swc,700000002,0.0,66.89699347183132,0.0,2131.469068897606,0.0,128.608670650244
200784_040.swc,700000006,0.0,23.586081771571187,0.0,1273.007266890942,0.0,1608.1627172058454
